Lender Number,Lender Loan Number,Delinquent Flag,Account Number,Tax Year,Year For,Billing Type,Real Property Value,Total Personal Value,Principal Due (xxxxxxxx.xx),Interest Due,Cost Due,Total Due
     ,                 ,Y,281,2010,2010,0,21150,0,129.86,67.85,2.59,200.3
     ,                 ,Y,281,2011,2011,0,21150,0,129.86,56.16,2.59,188.61
     ,                 ,Y,281,2012,2012,0,21150,0,129.86,44.48,2.59,176.93
     ,                 ,Y,281,2013,2013,0,21150,0,129.86,32.79,2.59,165.24
     ,                 ,Y,281,2014,2014,0,21150,0,139.17,22.62,2.65,164.44
     ,                 ,Y,281,2015,2015,0,21150,0,146.89,10.65,2.75,160.29
     ,                 , ,281,2016,2016,0,21000,0,146.27,0,0,146.27
     ,                 , ,282,2016,2016,0,38015910,0,415278.1,0,0,415278.1
     ,                 , ,284,2016,2016,0,274652,0,1932.96,0,0,1932.96
     ,                 , ,285,2016,2016,0,103718,0,1096.68,0,0,1096.68
     ,                 , ,287,2016,2016,0,199215,0,1973.31,0,0,1973.31
     ,                 , ,288,2016,2016,0,435404,0,3052.59,0,0,3052.59
     ,                 , ,289,2016,2016,0,911609,0,0,0,0,0
     ,                 , ,291,2016,2016,0,42931,0,457.38,0,0,457.38
     ,                 , ,292,2016,2016,0,26635,0,291.35,0,0,291.35
     ,                 , ,293,2016,2016,0,51592,0,545.62,0,0,545.62
     ,                 , ,297,2016,2016,0,50628,0,535.8,0,0,535.8
     ,                 , ,306,2016,2016,0,201475,0,2072.63,0,0,2072.63
     ,                 , ,307,2016,2016,0,198771,0,0,0,0,0
     ,                 , ,308,2016,2016,0,71426,0,747.68,0,0,747.68
     ,                 , ,311,2016,2016,0,160000,0,1630.08,0,0,1630.08
     ,                 , ,312,2016,2016,0,756101,0,7723.16,0,0,7723.16
     ,                 , ,313,2016,2016,0,212871,0,1502.65,0,0,1502.65
     ,                 , ,314,2016,2016,0,40981,0,501.73,0,0,501.73
     ,                 , ,315,2016,2016,0,76001,0,794.3,0,0,794.3
     ,                 , ,316,2016,2016,0,70550,0,0,0,0,0
     ,                 , ,317,2016,2016,0,182744,0,1776.98,0,0,1776.98
     ,                 , ,319,2016,2016,0,10800,0,111.56,0,0,111.56
     ,                 , ,320,2016,2016,0,111872,0,779.19,0,0,779.19
     ,                 , ,321,2016,2016,0,120917,0,862.19,0,0,862.19
     ,                 , ,323,2016,2016,0,60635,0,442.32,0,0,442.32
     ,                 , ,324,2016,2016,0,791933,0,8088.22,0,0,8088.22
     ,                 , ,325,2016,2016,0,278108,0,2853.37,0,0,2853.37
     ,                 , ,326,2016,2016,0,170880,0,1644.21,0,0,1644.21
     ,                 , ,327,2016,2016,0,79357,0,296.36,0,0,296.36
     ,                 ,Y,328,1992,1992,0,1750,0,22.36,47.91,2.5,72.77
     ,                 ,Y,328,1993,1993,0,1750,0,24.11,49.49,2.5,76.1
     ,                 ,Y,328,1994,1994,0,1750,0,23.32,45.77,2.5,71.59
     ,                 ,Y,328,1995,1995,0,1750,0,20.55,38.48,2.5,61.53
     ,                 ,Y,328,1996,1996,0,1750,0,20.44,36.43,2.5,59.37
     ,                 ,Y,328,1997,1997,0,1750,0,20.44,34.59,2.5,57.53
     ,                 ,Y,328,1998,1998,0,1750,0,20.22,32.4,2.5,55.12
     ,                 ,Y,328,1999,1999,0,1750,0,21.97,33.23,4,59.2
     ,                 , ,328,2016,2016,0,8400,0,85.58,0,0,85.58
     ,                 , ,329,2016,2016,0,283525,0,2908.56,0,0,2908.56
     ,                 , ,330,2016,2016,0,116568,0,1224.15,0,0,1224.15
     ,                 , ,331,2016,2016,0,81679,0,852.14,0,0,852.14
     ,                 , ,332,2016,2016,0,388209,0,2703.88,0,0,2703.88
     ,                 , ,333,2016,2016,0,159852,0,1648.57,0,0,1648.57
     ,                 , ,334,2016,2016,0,125652,0,895.17,0,0,895.17
     ,                 , ,335,2016,2016,0,327900,0,83.1,0,0,83.1
     ,                 , ,336,2016,2016,0,81439,0,587.22,0,0,587.22
     ,                 , ,337,2016,2016,0,626952,0,5959.18,0,0,5959.18
     ,                 , ,338,2016,2016,0,114103,0,1312.79,0,0,1312.79
     ,                 , ,339,2016,2016,0,87082,0,626.53,0,0,626.53
     ,                 , ,340,2016,2016,0,147835,0,1049.67,0,0,1049.67
     ,                 , ,341,2016,2016,0,22000,0,153.23,0,0,153.23
     ,                 , ,342,2016,2016,0,411761,0,407.76,0,0,407.76
     ,                 , ,343,2016,2016,0,120673,0,860.49,0,0,860.49
     ,                 , ,345,2016,2016,0,672528,0,6871.71,0,0,6871.71
     ,                 , ,346,2016,2016,0,115236,0,1265.12,0,0,1265.12
     ,                 , ,351,2016,2016,0,2291848,0,7052.81,0,0,7052.81
     ,                 , ,352,2016,2016,0,3157749,0,31277.5,0,0,31277.5
     ,                 , ,355,2016,2016,0,197387,0,1896.16,0,0,1896.16
     ,                 , ,356,2016,2016,0,134825,0,999.05,0,0,999.05
     ,                 , ,357,2016,2016,0,120974,0,1269.66,0,0,1269.66
     ,                 , ,358,2016,2016,0,170247,0,1754.47,0,0,1754.47
